14;In welchem Jahr wurde die Unabhängigkeit der USA erklärt?;1776;1789;1803;1812
13;Welches ist das älteste noch existierende Buch der Welt?;Dao De Jing;Rigveda;Ilias;Die Odyssee
12;Welcher Planet hat den geringsten Durchmesser in unserem Sonnensystem?;Merkur;Mars;Venus;Erde
11;Wer schrieb das Buch "Krieg und Frieden"?;Leo Tolstoi;Fjodor Dostojewski;Gustave Flaubert;Charles Dickens
10;In welchem Jahr wurde die erste Atombombe gezündet?;1945;1939;1955;1962
9;Welches ist das größte Riff der Welt?;Great Barrier Reef;Hawaiianisches Riff;Korallenriff bei Belize;Rotes Meer Riff
8;Wer war der erste Mensch, der den Äquator überquerte?;Ferdinand Magellan;Marco Polo;Vasco da Gama;Christopher Columbus
7;In welchem Jahr wurde die chinesische Mauer erbaut?;7. Jahrhundert v. Chr.;3. Jahrhundert v. Chr.;5. Jahrhundert n. Chr.;10. Jahrhundert n. Chr.
6;Was ist die Hauptzutat in traditionellem Miso-Suppenrezept?;Fermentierte Sojabohnen;Algen;Fischsauce;Reisnudeln
5;Wer war der erste Mensch, der den Nordpol erreichte?;Robert Peary;Roald Amundsen;Ernest Shackleton;Richard Byrd
4;In welchem Jahr wurde die Theorie der Relativität von Albert Einstein veröffentlicht?;1905;1915;1925;1935
3;Welcher Planet hat den kürzesten Abstand zur Sonne?;Merkur;Venus;Erde;Mars
2;Wer schrieb das Buch "Die Kunst des Krieges"?;Sunzi;Machiavelli;Sun Tzu;Laozi
1;In welchem Jahr wurde die erste erfolgreiche Herztransplantation durchgeführt?;1967;1955;1975;1985
0;Welches Element hat die Ordnungszahl 92?;Uran (U);Plutonium (Pu);Thorium (Th);Neptunium (Np)
