49;Welches Unternehmen entwickelte den ersten kommerziell erfolgreichen Personal Computer?;IBM;Apple;Microsoft;Intel
48;Welche Sprache wird hauptsächlich für die Entwicklung von Webseiten verwendet?;HTML;Python;Java;C++
47;Wer war der Gründer von SpaceX?;Elon Musk;Jeff Bezos;Bill Gates;Mark Zuckerberg
46;Welches Unternehmen produzierte den ersten kommerziell erhältlichen Laptop?;IBM;Apple;Microsoft;Dell
45;Welches war das erste soziale Netzwerk im Internet?;SixDegrees.com;Friendster;MySpace;Facebook
44;Welches Unternehmen hat das Betriebssystem Android entwickelt?;Google;Apple;Microsoft;Samsung
43;Welches ist das meistverkaufte Smartphone aller Zeiten?;iPhone;Samsung Galaxy;Nokia 1100;Motorola Razr
42;Welche Internetfirma betreibt die weltweit größte Suchmaschine?;Google;Yahoo;Bing;DuckDuckGo
41;Welche Technologie wird verwendet, um Kryptowährungen wie Bitcoin zu sichern?;Blockchain;Künstliche Intelligenz;Cloud Computing;Quantencomputing
40;Welche Firma brachte den ersten kommerziell verfügbaren Computer mit Maus und grafischer Benutzeroberfläche auf den Markt?;Apple;Microsoft;Xerox;IBM
39;Welches war das erste kommerziell verfügbare Mobiltelefon?;Motorola DynaTAC 8000X;Nokia 1011;Ericsson GH 337;Samsung Galaxy S
38;Wer war der Mitbegründer von Apple Inc.?;Steve Jobs;Steve Wozniak;Bill Gates;Mark Zuckerberg
37;Welches Unternehmen entwickelte den ersten kommerziellen Mikroprozessor?;Intel;AMD;Apple;IBM
36;Welches war das erste Videospiel, das jemals entwickelt wurde?;Pong;Spacewar!;Tetris;Super Mario Bros.
35;Welches ist das meistverkaufte Videospiel aller Zeiten?;Minecraft;Tetris;Grand Theft Auto V;Super Mario Bros.
34;Welches war das erste soziale Netzwerk, das Live-Streaming anbot?;Twitch;YouTube;Facebook;Instagram
33;Welches ist das meistverwendete Betriebssystem für Mobiltelefone weltweit?;Android;iOS;Windows Phone;BlackBerry OS
32;Welches Unternehmen hat den ersten kommerziell verfügbaren Flachbildfernseher hergestellt?;Sony;Samsung;LG;Panasonic
31;Wer entwickelte das World Wide Web?;Tim Berners-Lee;Bill Gates;Mark Zuckerberg;Steve Jobs
30;Welches Unternehmen produzierte den ersten kommerziell verfügbaren CD-Player?;Sony;Philips;Panasonic;Samsung
29;Welche war die erste kommerzielle E-Mail-Adresse?;raytomlinson@bbn-tenexa;billgates@microsoft;stevejobs@apple;markzuckerberg@facebook
