16;Paris;Was ist die Hauptstadt von Frankreich?;Was ist die Hauptstadt von Italien?;Was ist die Hauptstadt von Spanien?;Was ist die Hauptstadt von Kanada?;1
15;Leonardo da Vinci;Wer malte die Mona Lisa?;"Wer schrieb das Buch ""Harry Potter""?";Wer war der erste Mensch im Weltraum?;Welches Tier ist das schnellste auf der Welt?;2
14;H2O;Wie nennt man die chemische Formel für Wasser?;Was ist die Hauptzutat in Sushi?;Was ist die Hauptstadt von Australien?;Was ist die Hauptstadt von China?;2
13;Frodo Beutlin;"Wie heißt die Hauptfigur in ""Der Herr der Ringe""?";"Wer schrieb das Buch ""Stolz und Vorurteil""?";"Wer schrieb das Buch ""1984""?";"Wer schrieb das Buch ""Die rote Zora""?";3
12;7;Wie viele Kontinente gibt es?;Wie viele Bundesländer hat Deutschland?;Wie viele Herzen hat ein Tintenfisch?;Wie viele Spieler hat ein Volleyball-Team auf dem Feld?;1
11;J.K. Rowling;"Wer schrieb das Buch ""Harry Potter""?";Wer malte die Mona Lisa?;Wer war der erste Mensch im Weltraum?;Was ist die Hauptstadt von Australien?;2
10;Reis;Was ist die Hauptzutat in Sushi?;Was ist die Hauptzutat in Bolognese-Sauce?;Was ist die Hauptzutat in Lasagne?;Was ist die Hauptzutat in einem Omelett?;1
9;1969;In welchem Jahr landete der erste Mensch auf dem Mond?;In welchem Jahr begann der Erste Weltkrieg?;In welchem Jahr wurde Facebook gegründet?;In welchem Jahr wurde die erste Glühbirne erfunden?;3
8;Rot;Was ist die Hauptfarbe der Flagge der Vereinigten Staaten?;Was ist die Hauptfarbe der Flagge von Frankreich?;Was ist die Hauptfarbe der Flagge von Deutschland?;Was ist die Hauptfarbe der Flagge von Großbritannien?;1
7;60;Wie viele Sekunden hat eine Minute?;Wie viele Minuten hat eine Stunde?;Wie viele Stunden hat ein Tag?;Wie viele Tage hat eine Woche?;1
6;Blauwal;Welches ist das größte Säugetier?;Welches Tier ist das kleinste auf der Welt?;Welches Tier ist das größte auf der Welt?;Welches Tier hat den längsten Hals?;2
5;Antoine de Saint-Exupéry;"Wer schrieb das Buch ""Der kleine Prinz""?";"Wer schrieb das Buch ""1984""?";"Wer schrieb das Buch ""Die rote Zora""?";"Wer schrieb das Buch ""Stolz und Vorurteil""?";3
4;Kruste;Wie nennt man die oberste Schicht der Erde?;Wie nennt man die oberste Schicht der Atmosphäre?;Wie nennt man die oberste Schicht der Haut?;Wie nennt man die oberste Schicht des Ozeans?;2
3;Canberra;Was ist die Hauptstadt von Australien?;Was ist die Hauptstadt von Neuseeland?;Was ist die Hauptstadt von Südafrika?;Was ist die Hauptstadt von Brasilien?;2
2;Hydrogen;"Welches Element hat die chemische Abkürzung ""H""?";"Welches Element hat die chemische Abkürzung ""Fe""?";"Welches Element hat die chemische Abkürzung ""O""?";"Welches Element hat die chemische Abkürzung ""Ca""?";1
1;Yuri Gagarin;Wer war der erste Mensch im Weltraum?;Wer war der erste Mensch, der den Mount Everest bestieg?;Wer war der erste Mensch, der den Äquator überquerte?;Wer war der erste Mensch, der den Nordpol erreichte?;3
0;2;Wie viele Herzen hat ein Tintenfisch?;Wie viele Augen hat eine Spinne?;Wie viele Ohren hat ein Mensch?;Wie viele Flügel hat ein Schmetterling?;4
