0;Wie lange kann ein Mensch ohne Wasser überleben?;ungefähr 3 Tage;1 Tag;1 Woche;2 Wochen
1;Was ist die richtige Vorgehensweise, um Nahrung in der Wildnis zu finden?;Essbare Pflanzen und Tiere identifizieren;Beeren essen ohne sie zu prüfen;Fischen im verschmutzten Wasser;Wild jagen ohne Ausrüstung
2;Welches ist ein sicheres Zeichen für die Anwesenheit von Raubtieren in der Nähe?;Spuren und Kot;Erdbeben;Frühlingsblumen blühen;Vögel singen
3;Was ist ein guter Standort für einen improvisierten Unterstand?;Trockener Boden mit Schutz vor Wind und Regen;Auf einem Hügelgipfel;In einem Flussbett;In einem offenen Feld
4;Welches ist ein effektives Signal für Rettung?;Drei aufeinander folgende Signale mit einem Signalgeber;Ein großes Feuer in der Nähe des Unterstandes;Einzelne kurze Schreie;Stilles Warten
5;Wie kann man Wasser in der Wildnis sicher trinkbar machen?;Durch Filtern und Abkochen;Direkt aus einem Fluss trinken;Regenwasser sammeln und trinken;Wasser aus einem Pfütze trinken
6;Was sollte man tun, wenn man sich in der Wildnis verirrt hat?;An einem sicheren Ort bleiben und auf Rettung warten;Auf gut Glück versuchen, den Weg zurückzufinden;In alle Richtungen gleichzeitig gehen;Panisch herumlaufen und schreien
7;Wie kann man Feuer machen, wenn man keine Streichhölzer hat?;Reibung oder Funken mit einem Feuerstarter;Durch Anzünden von trockenen Blättern;Durch Sonnenlicht konzentriert mit einer Lupe;Mit einem Feuerlöscher
8;Welche Gefahr stellt kühles Wasser in einer Survival-Situation dar?;Hypothermie;Dehydration;Hitzschlag;Verbrennungen
9;Was ist der beste Weg, um sich vor Insektenstichen zu schützen?;Verwendung von Insektenschutzmittel und das Tragen langer Kleidung;Essen von Knoblauch;Schlafen ohne Unterstand;Tägliches Baden im Fluss
10;Welche Methode ist am besten geeignet, um eine Orientierung in der Wildnis zu erhalten?;Verwendung von Navigationsinstrumenten wie Kompass und Karte;Bäume markieren;Den Sternenhimmel beobachten;Zufällig herumlaufen
11;Was ist die Hauptgefahr beim Überleben in der Wildnis?;Mangel an Wasser;Erfrierungen;Mangel an Nahrung;Verletzungen durch Raubtiere
12;Welche ist die sicherste Methode, um Wasser aus einer unbekannten Quelle zu trinken?;Filtern und Abkochen;Direkt trinken;Es einfach probieren;Mit einem Strohhalm trinken
13;Was ist die beste Technik, um Nahrung in der Wildnis zu konservieren?;Trocknen oder Räuchern;Einfrieren;In der Sonne liegen lassen;In einen Fluss werfen
14;Was ist der sicherste Weg, um Wasser in der Wildnis zu sammeln?;Regenwasser sammeln;Aus einem Fluss trinken;Schnee essen;Tau von Pflanzen lecken
15;Was ist eine wichtige Fähigkeit, um Feuer in der Wildnis zu machen?;Kenntnisse über Feuermachtechniken;Den Wind anpusten;Einen Feuerzeug haben;Holz mit bloßen Händen reiben
16;Was ist ein essbares Zeichen für Wasser in der Wildnis?;Grüne Pflanzen;Ameisen;Bienen;Tierpfade
17;Was ist eine wichtige Maßnahme zum Schutz vor Unterkühlung in der Wildnis?;Das Tragen von warmen und trockenen Kleidern;Ins kalte Wasser springen;Rennen bis man schwitzt;Sich in einen Schneehaufen einwickeln
18;Was ist ein sicheres Zeichen dafür, dass ein Flusswasser nicht trinkbar ist?;Trübes Wasser;Klarer Geruch;Pflanzen am Ufer;Sichtbare Fische
19;Was ist die erste Maßnahme bei einer Bärenbegegnung?;Ruhig bleiben und langsam zurückziehen;Den Bären mit Steinen bewerfen;Schnell weglaufen;Schreien und herumfuchteln
20;Was ist eine wichtige Methode zur Vermeidung von Sonnenbrand in der Wildnis?;Tragen von Sonnenschutz;Die Sonne direkt anstarren;Nichts tun;Sich mit Schlamm bedecken
21;Was sollte man in einem Survival-Kit haben?;Feuerstarter, Messer, Wasserflasche, Erste-Hilfe-Set;Schminkset, Handspiegel, Schokolade, Thermometer;Spielkarten, Parfüm, Laptop, Teetasse;Tennisball, Fernglas, Zahnseide, Flipflops
22;Was ist die beste Methode, um Feuerholz in der Wildnis zu sammeln?;Trockenes Holz vom Boden aufheben;Feuerholz aus einem Vogelnest sammeln;Grüne Äste von Bäumen brechen;Steine gegen Bäume werfen
23;Was ist eine wichtige Sicherheitsmaßnahme beim Überqueren eines Flusses in der Wildnis?;Stromschnellen vermeiden und eine flache Stelle suchen;Auf einem Baumstamm balancieren;Das Wasser trinken;Im Fluss schwimmen
24;Was sollte man tun, wenn man sich in der Wildnis verlaufen hat und keine Rettung in Sicht ist?;Einen Unterstand bauen und warten;Sich in einem Kreis drehen und beten;Sich in einen Fluss setzen und treiben lassen;Weiter laufen bis man auf jemanden trifft
25;Was ist die beste Methode, um einen Unterstand in der Wildnis zu bauen?;Verwendung von natürlichen Materialien wie Zweigen und Blättern;Ein Zelt mitnehmen;Im Gras liegen bleiben;In einem Baumhaus schlafen
26;Was ist ein sicheres Zeichen dafür, dass Schnee nicht sicher zu essen ist?;Gelbe Farbe;Braune Farbe;Rote Farbe;Weiße Farbe
27;Was ist die beste Methode, um Wasser aus einer Quelle zu sammeln?;Filtern und Abkochen;Einfach trinken;Ins Gesicht spritzen;Mit Blättern bedecken
28;Was sollte man tun, wenn man von einem Blitz getroffen wird?;Sofort medizinische Hilfe suchen;Ein Gebet sprechen;Einmal um den Baum laufen;In eine Kuhle legen und warten
29;Was ist ein sicheres Zeichen dafür, dass ein See sicher zu trinken ist?;Klares und sauberes Wasser;Braunes Wasser;Grünes Wasser;Rotes Wasser
30;Was ist die beste Methode, um eine Wunde in der Wildnis zu behandeln?;Reinigen und Verbinden;Mit Essig übergießen;Nichts tun;Schmutz reinreiben
31;Was ist eine wichtige Maßnahme zur Vermeidung von Erfrierungen in der Wildnis?;Das Tragen von warmen Kleidern und Handschuhen;Auf einer Eisfläche tanzen;Einen Schneemann bauen;Nackt schlafen
32;Was ist eine sichere Methode zur Wassergewinnung in der Wüste?;Kondensation sammeln;Eine Sandburg bauen;In Kaktusstängeln bohren;Salzwasser trinken
33;Was sollte man in einem Survival-Kit für Erste Hilfe haben?;Pflaster, Desinfektionsmittel, Schmerzmittel, Verband;Lippenstift, Zahnbürste, Deodorant, Seife;Plastikflamingo, Gummitiere, Farbige Stifte, Einhorn-Schlüsselanhänger;Schokolade, Kekse, Kaugummi, Marshmallows
34;Was ist eine wichtige Technik, um sich in der Wildnis zu verstecken?;Tarnung mit natürlichen Materialien;Im Wasser schwimmen;Schreien und herumlaufen;Sich in einen Baum klettern
35;Was sollte man tun, wenn man sich in der Wildnis verletzt hat?;Erste Hilfe leisten und Ruhe bewahren;Die Wunde mit Dreck bedecken;Laut schreien und auf sich aufmerksam machen;Weiterrennen
36;Was ist die beste Methode, um sich vor Frostbeulen zu schützen?;Halten Sie Ihre Haut trocken und warm;Den Schnee essen;Die Schuhe ausziehen;Sich in einen Eiswürfel setzen
37;Was ist ein sicheres Zeichen dafür, dass Beeren essbar sind?;Kenntnisse über essbare Beeren;Bären, die sie essen;Dornen;Rote Farbe
38;Was ist eine wichtige Technik, um Feuer in der Wildnis zu löschen?;Ersticken oder Ablöschen;Mit Benzin übergießen;Mit Wasser übergießen;Weiterschlafen
39;Was ist die beste Methode, um sich vor Wildtieren in der Wildnis zu schützen?;Vermeidung von Kontakt und Lärm;In ein Bärenkostüm schlüpfen;Mit einem Stock nach ihnen schlagen;Sie mit Essen füttern
40;Was sollte man tun, wenn man sich in der Wildnis verlaufen hat und die Nacht hereinbricht?;Ein Lagerfeuer machen und übernachten;Auf einem Baum schlafen;Die Sterne zählen;Weitergehen bis man jemanden findet
41;Was ist ein sicheres Zeichen dafür, dass eine Pflanze giftig ist?;Kenntnisse über giftige Pflanzen;Lauter Gesang;Schöne Blumen;Süßer Geruch
42;Was ist eine wichtige Maßnahme zur Vermeidung von Dehydration in der Wildnis?;Regelmäßig Wasser trinken;Kaffee trinken;Nur bei Durst trinken;Salzwasser trinken
43;Was ist die beste Methode, um Wasser aus einer Höhle zu sammeln?;Filtern und Abkochen;Einfach trinken;Mit einem Löffel löffeln;Mit einer Schaufel graben
44;Was ist eine wichtige Sicherheitsmaßnahme beim Camping in der Wildnis?;Sicherstellen, dass Lebensmittel sicher verstaut sind, um wilde Tiere fernzuhalten;In der Nähe von Bärennahrung schlafen;Lebensmittel offen herumliegen lassen;Schlafen mit einem Steak auf der Stirn
45;Was sollte man tun, wenn man sich in der Wildnis verlaufen hat und nicht weiß, wohin man gehen soll?;An einem sicheren Ort bleiben und auf Rettung warten;Auf Bären schießen;Ein Erdloch graben und sich verstecken;In alle Richtungen gleichzeitig gehen
46;Was ist eine wichtige Technik, um sich in der Wildnis zu orientieren?;Verwendung von natürlichen Markierungen wie Bergen und Flüssen;Auf einem Bein stehen und in die Ferne starren;Die Augen schließen und herumlaufen;Die Luft riechen
47;Was sollte man tun, wenn man sich in einem Schneesturm verirrt hat?;Einen Unterschlupf bauen und Schutz suchen;Einen Schneeballkampf veranstalten;In einem Eisblock einsperren;Schnee essen
48;Was ist eine sichere Methode, um Wasser aus einem Fluss zu trinken?;Filtern und Abkochen;Einfach trinken;Mit einem Strohhalm trinken;Mit einem Trinkhalm trinken
49;Was sollte man tun, wenn man sich in der Wildnis verletzt hat und keine medizinische Versorgung verfügbar ist?;Erste Hilfe leisten und Ruhe bewahren;Die Wunde mit Schmutz bedecken;Versuchen, die Wunde selbst zu nähen;Weiterschreien und weinen
50;Was ist eine wichtige Maßnahme zur Vermeidung von Sonnenstich in der Wildnis?;Das Tragen von Hut und Sonnenschutz;Die Sonne anstarren;Eine Sonnenbrille tragen;Sich nackt ausziehen
51;Was ist die beste Methode, um sich vor Schlangenbissen in der Wildnis zu schützen?;Vorsichtiges Navigieren und Beobachten des Bodens;Barfuß laufen;Laut Musik spielen;Mit den Schlangen tanzen
52;Was sollte man tun, wenn man sich in einem Wald verlaufen hat?;An einem sicheren Ort bleiben und auf Rettung warten;Ein Nickerchen machen;Einem Bären folgen;Laut schreien und herumlaufen
53;Was ist eine sichere Methode zur Erkennung von essbaren Pflanzen?;Kenntnisse über essbare Pflanzen;Dornen;Lange Wurzeln;Stacheln
54;Was ist eine wichtige Maßnahme zur Vermeidung von Hitzschlag in der Wildnis?;Ausreichend Wasser trinken und im Schatten bleiben;Einen Marathon laufen;In einer Sauna sitzen;Mit Schneebällen werfen
55;Was ist die beste Methode, um sich vor Stechmücken in der Wildnis zu schützen?;Verwendung von Insektenschutzmittel und das Tragen langer Kleidung;Eine Stechmücke als Haustier halten;Honig am Körper verteilen;Sich nackt ausziehen
56;Was sollte man tun, wenn man sich in der Wildnis verlaufen hat und die Nacht hereinbricht?;Ein Lagerfeuer machen und übernachten;Die Arme hochwerfen und nach Hilfe schreien;Die Sterne zählen;In einer Höhle schlafen
57;Was ist eine wichtige Sicherheitsmaßnahme beim Zelten in der Wildnis?;Das Zelt an einem sicheren Ort aufbauen, weg von Steigungen und Bäumen;Das Zelt am Flussufer aufbauen;Das Zelt direkt unter einem Baum aufstellen;Das Zelt mit Insektenschutzmittel besprühen
58;Was sollte man tun, wenn man sich in der Wildnis verirrt hat und kein Kompass verfügbar ist?;Versuchen, die Richtung anhand von natürlichen Hinweisen wie Sonne und Sternen zu bestimmen;Auf allen vieren krabbeln;Aufgeben und weinen;Ein Nickerchen machen
59;Was ist eine sichere Methode zur Vermeidung von Hautausschlägen in der Wildnis?;Halten Sie die Haut sauber und trocken;Ein Bad im Fluss nehmen;Mit den Pflanzen im Wald kuscheln;Sich im Schlamm wälzen
60;Was ist die beste Methode, um Wasser aus einer Pfütze zu sammeln?;Filtern und Abkochen;Das Wasser direkt trinken;Ins Wasser springen und schwimmen;Mit den Händen trinken
61;Was sollte man tun, wenn man sich in der Wildnis verirrt hat und keine Orientierung hat?;An einem sicheren Ort bleiben und auf Rettung warten;Ein Feuer machen und hoffen, dass jemand es sieht;In alle Richtungen gleichzeitig gehen;Mit den Bäumen tanzen
62;Was ist eine wichtige Maßnahme zur Vermeidung von Verbrennungen in der Wildnis?;Vorsichtig mit Feuer umgehen und sicherstellen, dass es kontrolliert ist;Ein Feuerwerk veranstalten;Mit einem Flammenwerfer spielen;Sich in eine Feuergrube legen
63;Was ist die erste Priorität in einer Survival-Situation?;Feuer machen;Nahrung finden;Schutz vor den Elementen;Wasser finden
