49;Welche Art von Käse wird traditionell für eine italienische Lasagne verwendet?;Mozzarella;Parmesan;Cheddar;Gouda
48;Welche Spirituose wird in einem Mojito verwendet?;Rum;Wodka;Tequila;Gin
47;Welches ist das Nationalgericht von Japan?;Sushi;Ramen;Tempura;Sashimi
46;Welches Fleisch wird traditionell für ein Wiener Schnitzel verwendet?;Kalb;Schwein;Huhn;Rind
45;Welche Zutat ist die Hauptkomponente von Guacamole?;Avocado;Tomate;Zitrone;Zwiebel
44;Welches Gemüse wird traditionell für Ratatouille verwendet?;Zucchini;Aubergine;Tomate;Paprika
43;Welche Art von Bier ist bekannt für seine dunkle Farbe?;Stout;Pilsner;Weizenbier;Pale Ale
42;Welche Hauptspeise wird traditionell bei Thanksgiving in den USA serviert?;Truthahn;Schweinebraten;Lammkoteletts;Rinderfilet
41;Welche Sorte von Reis wird oft in der spanischen Küche für Paella verwendet?;Rundkornreis;Langkornreis;Basmatireis;Jasminreis
40;Welches ist das beliebteste Frühstücksgetränk in den USA?;Kaffee;Orangensaft;Milch;Tee
39;Welches ist die wichtigste Zutat in einem Martini-Cocktail?;Gin;Wodka;Rum;Tequila
38;Welche Art von Fleisch wird für das traditionelle italienische Gericht "Osso Buco" verwendet?;Kalbfleisch;Rindfleisch;Schweinefleisch;Hühnerfleisch
37;Welche Zutat wird traditionell für Caesar-Salat verwendet?;Römersalat;Croutons;Parmesankäse;Caesar-Dressing
36;Welche Spirituose ist Hauptbestandteil eines Margarita-Cocktails?;Tequila;Rum;Gin;Wodka
35;Welches Gewürz ist Hauptbestandteil von Currypulver?;Kurkuma;Koriander;Kreuzkümmel;Paprika
34;Welches Obst wird traditionell für Apfelstrudel verwendet?;Äpfel;Birnen;Pfirsiche;Kirschen
33;Welches ist das Hauptbestandteil von Hummus?;Kichererbsen;Sesampaste;Olivenöl;Zitrone
32;Welches Fleisch wird traditionell für eine italienische Bolognese verwendet?;Rindfleisch;Schweinefleisch;Lammfleisch;Hühnerfleisch
31;Welches Getränk wird traditionell zum irischen St. Patrick's Day gefeiert?;Guinness;Whiskey;Cider;Wein
30;Welche Art von Fisch wird traditionell für Sushi verwendet?;Thunfisch;Lachs;Aal;Garnelen
29;Welches Gemüse wird traditionell für eine griechische Moussaka verwendet?;Aubergine;Kartoffel;Zucchini;Tomate
28;Welches ist das Hauptbestandteil von Pesto alla Genovese?;Basilikum;Pinienkerne;Parmesankäse;Olivenöl
27;Welches ist das Hauptbestandteil von Tiramisu?;Mascarpone;Kaffee;Löffelbiskuits;Eier
26;Welche Art von Nudeln wird traditionell für Spaghetti Bolognese verwendet?;Spaghetti;Tagliatelle;Fettuccine;Penne
25;Welche Art von Brot wird traditionell für ein französisches Croissant verwendet?;Hefeteig;Blätterteig;Sauerteig;Pizzateig
24;Welche Art von Fisch wird traditionell für Fish and Chips verwendet?;Kabeljau;Scholle;Lachs;Heilbutt
23;Welches ist die Hauptzutat für eine Margherita-Pizza?;Tomate;Mozzarella;Basilikum;Olivenöl
