49;Wer spielte die Hauptrolle in der Filmreihe "Harry Potter"?;Daniel Radcliffe;Emma Watson;Rupert Grint;Tom Felton
48;In welchem Jahr wurde der erste "Star Wars" Film veröffentlicht?;1977;1980;1983;1974
47;Wer spielte den Joker im Film "The Dark Knight"?;Heath Ledger;Joaquin Phoenix;Jack Nicholson;Jared Leto
46;Wer ist der Regisseur des Films "Der Pate"?;Francis Ford Coppola;Martin Scorsese;Steven Spielberg;Alfred Hitchcock
45;Welcher Schauspieler spielt James Bond in "Casino Royale"?;Daniel Craig;Pierce Brosnan;Sean Connery;Roger Moore
44;Welcher Animationsfilm gewann den Oscar für den besten Film im Jahr 1995?;Toy Story;Der König der Löwen;Shrek;Findet Nemo
43;Wer spielt die Hauptrolle in der Serie "Breaking Bad"?;Bryan Cranston;Aaron Paul;Bob Odenkirk;Jonathan Banks
42;In welchem Film wird der berühmte Satz "Here's Johnny!" gesagt?;Shining;Psycho;Der Exorzist;Das Schweigen der Lämmer
41;Wer ist der Schöpfer der Serie "Friends"?;David Crane und Marta Kauffman;Jerry Seinfeld;Judd Apatow;Tina Fey
40;Welcher Film gewann den Oscar für den besten Film im Jahr 1994?;Forrest Gump;Pulp Fiction;Der Schindler's Liste;Der König der Löwen
39;Wer spielte die Hauptrolle in der Serie "House of Cards"?;Kevin Spacey;Robin Wright;Kate Mara;Michael Kelly
38;In welchem Film spielte Leonardo DiCaprio nicht mit?;Der Herr der Ringe: Die Rückkehr des Königs;Inception;The Revenant;The Wolf of Wall Street
37;Welche Serie spielt in der fiktiven Stadt Springfield?;Die Simpsons;Family Guy;South Park;Futurama
36;Wer spielt die Hauptrolle in der Serie "The Crown"?;Olivia Colman;Claire Foy;Helena Bonham Carter;Tobias Menzies
35;In welchem Film spielt Tom Hanks einen Mann, der gestrandet ist und Freundschaft mit einem Volleyball schließt?;Cast Away;Forrest Gump;Apollo 13;Philadelphia
34;Welcher Schauspieler spielt die Hauptrolle in der Serie "Stranger Things"?;Millie Bobby Brown;Winona Ryder;David Harbour;Finn Wolfhard
33;In welchem Film spielte Johnny Depp den exzentrischen Piratenkapitän Jack Sparrow?;Fluch der Karibik;Edward mit den Scherenhänden;Sweeney Todd;Sleepy Hollow
32;Wer spielt die Hauptrolle in der Serie "The Mandalorian"?;Pedro Pascal;Gina Carano;Carl Weathers;Giancarlo Esposito
31;Welcher Film gewann den Oscar für den besten Film im Jahr 2019?;Parasite;Green Book;The Shape of Water;Moonlight
30;Wer spielte die Hauptrolle in der Serie "Breaking Bad"?;Bryan Cranston;Aaron Paul;Bob Odenkirk;Jonathan Banks
29;In welchem Film spielt Will Smith einen Agenten, der Aliens bekämpft?;Men in Black;Independence Day;I Am Legend;Hancock
28;Wer ist der Schöpfer der Serie "Game of Thrones"?;David Benioff und D. B. Weiss;George R. R. Martin;J.R.R. Tolkien;J.K. Rowlin
27;In welchem Film spielt Brad Pitt einen alternden Stuntman?;Once Upon a Time in Hollywood;Fight Club;Se7en;Inglourious Basterds
26;Wer spielt die Hauptrolle in der Serie "The Office" (US-Version)?;Steve Carell;Rainn Wilson;John Krasinski;Jenna Fischer
25;Welcher Film gewann den Oscar für den besten Film im Jahr 2017?;Moonlight;La La Land;Manchester by the Sea;Arrival
24;In welcher Serie spielt Bryan Cranston einen Chemielehrer, der Crystal Meth herstellt?;Breaking Bad;Weeds;Better Call Saul;Narcos
23;Welcher Schauspieler spielt die Hauptrolle in der Serie "Sherlock"?;Benedict Cumberbatch;Martin Freeman;Andrew Scott;Rupert Graves
22;In welchem Film spielt Uma Thurman eine Frau auf einem Rachefeldzug?;Kill Bill;Pulp Fiction;Reservoir Dogs;Jackie Brown
21;Wer ist der Schöpfer der Serie "The Sopranos"?;David Chase;Martin Scorsese;Steven Soderbergh;Aaron Sorkin
20;In welchem Film spielt Keanu Reeves einen Hacker, der in die Matrix eintaucht?;Die Matrix;Inception;John Wick;Constantine
19;Wer spielt die Hauptrolle in der Serie "Stranger Things"?;Millie Bobby Brown;Winona Ryder;David Harbour;Finn Wolfhard
18;In welchem Film spielte Heath Ledger den Joker?;The Dark Knight;Batman Begins;Joker;Suicide Squad
17;Welcher Schauspieler spielte die Hauptrolle in der Serie "Mad Men"?;Jon Hamm;Elisabeth Moss;January Jones;Christina Hendricks
16;In welchem Film spielt Anthony Hopkins einen kannibalistischen Serienmörder?;Das Schweigen der Lämmer;Hannibal;Red Dragon;Roter Drache
15;Wer ist der Regisseur des Films "Inception"?;Christopher Nolan;Steven Spielberg;Martin Scorsese;Quentin Tarantino
14;In welcher Serie spielt Bryan Cranston einen Chemielehrer, der Crystal Meth herstellt?;Breaking Bad;Weeds;Better Call Saul;Narcos
13;Welcher Schauspieler spielt die Hauptrolle in der Serie "True Detective" (Staffel 1)?;Matthew McConaughey;Woody Harrelson;Colin Farrell;Vince Vaughn
12;In welchem Film spielte Tom Cruise einen Agenten, der gegen eine Alien-Invasion kämpft?;Edge of Tomorrow;Krieg der Welten;Oblivion;Minority Report
11;Wer ist der Schöpfer der Serie "Black Mirror"?;Charlie Brooker;J.J. Abrams;Ryan Murphy;David Lynch
10;In welchem Film spielte Leonardo DiCaprio einen betrogenen Börsenmakler?;The Wolf of Wall Street;The Big Short;Moneyball;Wall Street
9;Welcher Schauspieler spielt die Hauptrolle in der Serie "Breaking Bad"?;Bryan Cranston;Aaron Paul;Bob Odenkirk;Jonathan Banks
8;In welchem Film spielt Tom Hanks einen Mann, der gestrandet ist und Freundschaft mit einem Volleyball schließt?;Cast Away;Forrest Gump;Apollo 13;Philadelphia
7;Wer ist der Regisseur des Films "Der Pate"?;Francis Ford Coppola;Martin Scorsese;Steven Spielberg;Alfred Hitchcock
6;In welchem Film spielt Johnny Depp den exzentrischen Piratenkapitän Jack Sparrow?;Fluch der Karibik;Edward mit den Scherenhänden;Sweeney Todd;Sleepy Hollow
5;Wer spielte die Hauptrolle in der Serie "The Mandalorian"?;Pedro Pascal;Gina Carano;Carl Weathers;Giancarlo Esposito
4;In welchem Film spielte Uma Thurman eine Frau auf einem Rachefeldzug?;Kill Bill;Pulp Fiction;Reservoir Dogs;Jackie Brown
3;Welcher Schauspieler spielte die Hauptrolle in der Serie "House of Cards"?;Kevin Spacey;Robin Wright;Kate Mara;Michael Kelly
2;In welchem Jahr wurde der erste "Star Wars" Film veröffentlicht?;1977;1980;1983;1974
1;Wer spielte den Joker im Film "The Dark Knight"?;Heath Ledger;Joaquin Phoenix;Jack Nicholson;Jared Leto
0;Wer ist der Schöpfer der Serie "Game of Thrones"?;David Benioff und D. B. Weiss;George R. R. Martin;J.R.R. Tolkien;J.K. Rowling
