49;Was ist die Hauptstadt von Spanien?;Madrid;Barcelona;Rom;Lissabon
48;In welchem Land liegt der Kilimandscharo?;Tansania;Kenia;Uganda;Ruanda
47;Wo liegt der Ayers Rock?;Australien;Neuseeland;Südafrika;Argentinien
46;Was ist die Hauptstadt von Thailand?;Bangkok;Phuket;Chiang Mai;Pattaya
45;Wo liegt das Tote Meer?;Israel;Jordanien;Ägypten;Saudi-Arabien
44;In welchem Land liegt die Inka-Stadt Machu Picchu?;Peru;Chile;Argentinien;Ecuador
43;Wo liegt das Great Barrier Reef?;Australien;Brasilien;Philippinen;Indonesien
42;Was ist die Hauptstadt von Neuseeland?;Wellington;Auckland;Christchurch;Queenstown
41;Wo liegt der Mount Fuji?;Japan;China;Indonesien;Südkorea
40;In welchem Land liegt der Ätna?;Italien;Griechenland;Spanien;Portugal
39;Wo liegt das Kap der Guten Hoffnung?;Südafrika;Kenia;Nigeria;Ägypten
38;Was ist die Hauptstadt von Irland?;Dublin;Belfast;Cork;Galway
37;In welchem Land liegt der Amazonas-Regenwald?;Brasilien;Peru;Kolumbien;Venezuela
36;Wo liegt das Matterhorn?;Schweiz;Italien;Frankreich;Österreich
35;Was ist die Hauptstadt von Finnland?;Helsinki;Stockholm;Oslo;Kopenhagen
34;Wo liegt der Grand Teton National Park?;Wyoming, USA;Kalifornien, USA;Alaska, USA;Montana, USA
33;In welchem Land liegt das Taj Mahal?;Indien;Pakistan;Bangladesch;Nepal
32;Was ist die Hauptstadt von Portugal?;Lissabon;Porto;Faro;Coimbra
31;Wo liegt der Lake District?;England;Schottland;Wales;Irland
30;In welchem Land liegt die Sahara-Wüste?;Mehrere;Hauptsächlich in Nordafrika;Südamerika;Asien
29;Wo liegt das Great Smoky Mountains National Park?;Tennessee und North Carolina, USA;Kalifornien, USA;Colorado, USA;Arizona, USA
28;Was ist die Hauptstadt von Polen?;Warschau;Krakau;Danzig;Breslau
27;In welchem Land liegt der Krüger-Nationalpark?;Südafrika;Kenia;Tansania;Botswana
26;Wo liegt der Lake Tahoe?;Kalifornien und Nevada, USA;Colorado, USA;Arizona, USA;Utah, USA
25;Was ist die Hauptstadt von Schweden?;Stockholm;Oslo;Kopenhagen;Helsinki
24;In welchem Land liegt das Okavango-Delta?;Botswana;Südafrika;Kenia;Namibia
23;Wo liegt der Denali National Park?;Alaska, USA;Kalifornien, USA;Colorado, USA;Wyoming, USA
22;Was ist die Hauptstadt von Kanada?;Ottawa;Toronto;Montreal;Vancouver
21;In welchem Land liegt der Lake Louise?;Kanada;USA;Norwegen;Schweiz
20;Wo liegt der Große Salzsee?;Utah, USA;Kalifornien, USA;Arizona, USA;Nevada, USA
19;Was ist die Hauptstadt von Argentinien?;Buenos Aires;Santiago;Lima;Bogotá
18;In welchem Land liegt das Rote Meer?;Ägypten;Saudi-Arabien;Israel;Jordanien
17;Wo liegt der Victoria Falls?;Simbabwe und Sambia;Kenia;Tansania;Südafrika
16;Was ist die Hauptstadt von Ägypten?;Kairo;Alexandria;Luxor;Assuan
15;In welchem Land liegt das Great-Sandy-Desert?;Australien;USA;Brasilien;Südafrika
14;Wo liegt der Death-Valley-Nationalpark?;Kalifornien und Nevada, USA;Arizona, USA;Utah, USA;Colorado, USA
13;Was ist die Hauptstadt von Indien?;Neu-Delhi;Mumbai;Kalkutta;Chennai
12;In welchem Land liegt der Lake Powell?;USA;Kanada;Mexiko;Brasilien
11;Wo liegt das Matterhorn?;Schweiz;Italien;Frankreich;Österreich
10;Was ist die Hauptstadt von Norwegen?;Oslo;Stockholm;Helsinki;Kopenhagen
9;In welchem Land liegt die Stadt Kapstadt?;Südafrika;Kenia;Nigeria;Ägypten
8;Wo liegt der Ayers Rock?;Australien;Neuseeland;Südafrika;Argentinien
7;Was ist die Hauptstadt von Thailand?;Bangkok;Phuket;Chiang Mai;Pattaya
6;In welchem Land liegt der Lake Louise?;Kanada;USA;Norwegen;Schweiz
5;Wo liegt der Große Salzsee?;Utah, USA;Kalifornien, USA;Arizona, USA;Nevada, USA
4;Was ist die Hauptstadt von Argentinien?;Buenos Aires;Santiago;Lima;Bogotá
3;In welchem Land liegt das Rote Meer?;Ägypten;Saudi-Arabien;Israel;Jordanien
2;Wo liegt der Victoria Falls?;Simbabwe und Sambia;Kenia;Tansania;Südafrika
1;Was ist die Hauptstadt von Ägypten?;Kairo;Alexandria;Luxor;Assuan
0;In welchem Land liegt das Great-Sandy-Desert?;Australien;USA;Brasilien;Südafrika
