43;Wer schrieb das Buch "Der Steppenwolf"?;Hermann Hesse;Thomas Mann;Franz Kafka;Dostojewski
42;In welchem Jahr wurde die Berliner Mauer errichtet?;1961;1956;1965;1970
41;Was ist die chemische Formel für Tafelsalz?;NaCl;H2O;CO2;O2
40;Wie nennt man die Wissenschaft von der Erde?;Geografie;Biologie;Physik;Chemie
39;Wer malte das Gemälde "Die Schrei"?;Edvard Munch;Vincent van Gogh;Claude Monet;Pablo Picasso
38;In welchem Jahr wurde die Magna Carta unterzeichnet?;1215;1300;1150;1250
37;Was ist die Hauptzutat in Sushi?;Reis;Fisch;Algen;Sojasauce
36;Welcher Fluss fließt durch Rom?;Tiber;Seine;Donau;Themse
35;Welches Land wird als das "Land der aufgehenden Sonne" bezeichnet?";Japan;China;Korea;Vietnam
34;Wer ist der Verfasser von "Romeo und Julia"?;William Shakespeare;Johann Wolfgang von Goethe;Leo Tolstoi;Charles Dickens
33;Was ist die Hauptzutat in einem Risotto?;Reis;Nudeln;Kartoffeln;Brot
32;In welchem Jahr fand die Oktoberrevolution in Russland statt?;1917;1905;1923;1932
31;Welcher Planet wird als der "Rote Planet" bezeichnet?";Mars;Venus;Jupiter;Saturn
30;Wer komponierte die "Ode an die Freude"?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Joseph Haydn
29;Welches ist das kleinste Säugetier in Europa?;Etruskerspitzmaus;Fledermaus;Igel;Wühlmaus
28;Wie nennt man die Studie von Muscheln und Schnecken?;Malakologie;Ichthyologie;Entomologie;Ornithologie
27;Welcher Berg ist der höchste in Europa?;Mont Blanc;Elbrus;Matterhorn;Zugspitze
26;In welchem Jahr wurde die erste öffentliche Eisenbahn eröffnet?;1825;1789;1850;1873
25;Wer war der erste Mensch im Weltraum?;Juri Alexejewitsch Gagarin;Neil Armstrong;Yuri Grom;Buzz Aldrin
24;Welches ist das größte Land in Afrika?;Algerien;Südafrika;Nigeria;Ägypten
23;Was ist die Hauptzutat in einem Paella-Gericht?;Reis;Huhn;Fisch;Tomaten
22;In welchem Jahr wurde die erste Fotografie aufgenommen?;1826;1835;1842;1850
21;Welches Element hat die Ordnungszahl 79?;Gold (Au);Silber (Ag);Kupfer (Cu);Platin (Pt)
20;Wer schrieb das Drama "Faust"?;Johann Wolfgang von Goethe;Friedrich Schiller;Heinrich von Kleist;E.T.A. Hoffmann
19;Welches Tier ist das Wappentier Australiens?;Känguru;Emu;Koala;Wombat
18;Was ist die Hauptzutat in einem Gazpacho-Suppenrezept?;Tomaten;Gurken;Paprika;Zwiebeln
17;In welchem Jahr wurde die französische Revolution beendet?;1799;1789;1804;1815
16;Wer ist der Autor von "Der große Gatsby"?;F. Scott Fitzgerald;Ernest Hemingway;J.D. Salinger;Mark Twain
15;Welcher Fluss fließt durch Paris?;Seine;Rhône;Loire;Garonne
14;Welches ist das kleinste Bundesland in den USA?;Rhode Island;Delaware;Connecticut;Vermont
13;In welchem Jahr wurde die erste Computermaus erfunden?;1964;1972;1980;1990
12;Wer schrieb das Buch "Der Prozess"?;Franz Kafka;Friedrich Nietzsche;Hermann Hesse;Thomas Mann
11;Welches ist das längste Flussdelta der Welt?;Gangesdelta;Amazonasdelta;Nildelta;Mekongdelta
10;Was ist die Hauptzutat in einem Hummus-Dip?;Kichererbsen;Tahini;Olivenöl;Knoblauch
9;Welcher Planet hat den kürzesten Tag in unserem Sonnensystem?;Jupiter;Mars;Venus;Merkur
8;Wer war der erste Mensch, der den Mount Everest bestieg?;Sir Edmund Hillary;Tenzing Norgay;Reinhold Messner;Sir Chris Bonington
7;Welches ist das kleinste Element im Periodensystem?;Wasserstoff (H);Helium (He);Lithium (Li);Beryllium (Be)
6;Welches ist das längste Gedicht der Weltliteratur?;Mahabharata;Ilias;Die Göttliche Komödie;Odyssee
5;In welchem Jahr wurde die erste Radiosendung ausgestrahlt?;1906;1922;1938;1945
4;Wer schrieb das Buch "Stolz und Vorurteil"?;Jane Austen;Charlotte Brontë;Emily Brontë;Charles Dickens
3;Welches ist das größte Land in Südamerika?;Brasilien;Argentinien;Peru;Kolumbien
2;Was ist die Hauptzutat in einem Tiramisu?;Mascarpone;Kaffee;Löffelbiskuits;Ei
1;Welcher Planet ist der fünfte in unserem Sonnensystem?;Jupiter;Mars;Venus;Saturn
0;Wer komponierte die "Schicksalssinfonie"?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Joseph Haydn
