49;Welche Fußballmannschaft gewann die UEFA Champions League 2019?;FC Liverpool;FC Barcelona;Real Madrid;Bayern München
48;Welche Tennisspielerin hält den Rekord für die meisten Grand-Slam-Titel?;Margaret Court;Serena Williams;Steffi Graf;Martina Navratilova
47;Welche ist die älteste olympische Sportart?;Leichtathletik;Ringkampf;Gewichtheben;Schwimmen
46;In welchem Land wurde der moderne Marathonlauf erfunden?;Griechenland;Vereinigtes Königreich;USA;Ägypten
45;Welcher Golfspieler hält den Rekord für die meisten Majorturniersiege?;Tiger Woods;Jack Nicklaus;Rory McIlroy;Phil Mickelson
44;Welche Frau hält den Weltrekord im Marathon?;Brigid Kosgei;Paula Radcliffe;Mary Keitany;Tegla Loroupe
43;Welcher Boxer wurde als "The Greatest" bezeichnet?;Muhammad Ali;Mike Tyson;Floyd Mayweather Jr.;Manny Pacquiao
42;In welchem Jahr fand das erste moderne Olympische Sommerspiele statt?;1896;1900;1912;1924
41;Welche ist die höchste Punktzahl, die in einer Runde beim Darts erzielt werden kann?;180;177;170;200
40;Welches ist der älteste Fußballverein der Welt?;Sheffield FC;Manchester United;Real Madrid;FC Bayern München
39;Welcher Basketballspieler wurde als "The Black Mamba" bekannt?;Kobe Bryant;Michael Jordan;LeBron James;Shaquille O'Neal
38;Welches ist die schnellste Schwimmstilart?;Kraul;Schmetterling;Rücken;Brust
37;Welcher Athlet hält den Weltrekord im 100-Meter-Sprint?;Usain Bolt;Tyson Gay;Yohan Blake;Justin Gatlin
36;Welche Fußballnation gewann die FIFA-Weltmeisterschaft 2018?;Frankreich;Kroatien;Argentinien;Brasilien
35;Welche ist die älteste Form des Karates?;Shotokan;Goju-Ryu;Shorin-Ryu;Wado-Ryu
34;Welcher Tennisspieler hat die meisten Wimbledon-Einzeltitel gewonnen?;Roger Federer;Pete Sampras;Rafael Nadal;Novak Djokovic
33;Welches ist der älteste professionelle Fußballverein in Spanien?;Recreativo de Huelva;FC Barcelona;Real Madrid;Athletic Bilbao
32;Welches Team hat die meisten NBA-Meisterschaften gewonnen?;Boston Celtics;Los Angeles Lakers;Chicago Bulls;Golden State Warriors
31;Welcher Mannschaftssport wird oft als "Schach auf Eis" bezeichnet?;Curling;Eishockey;Bandy;Eiskunstlauf
30;Welches ist der älteste Fußballverein in Deutschland?;TSV 1860 München;FC Nürnberg;Hamburger SV;Hertha BSC
29;Welches Pferderennen ist als "Das Rennen der Rosen" bekannt?;Kentucky Derby;Belmont Stakes;Preakness Stakes;Melbourne Cu
28;Welcher Tennisspieler hält den Rekord für die meisten French-Open-Titel?;Rafael Nadal;Roger Federer;Novak Djokovic;Ivan Lendl
27;Welcher Radrennfahrer gewann die Tour de France am häufigsten?;Eddy Merckx;Lance Armstrong;Chris Froome;Miguel Indurain
26;Welches ist der älteste Fußballverein in Italien?;Genoa CFC;AC Mailand;Juventus Turin;AS Rom
25;Welches Land hat die meisten Goldmedaillen in der olympischen Leichtathletik gewonnen?;USA;Sowjetunion;Deutschland;China
24;Welcher Eishockeytorwart hält den Rekord für die meisten NHL-Siege?;Martin Brodeur;Patrick Roy;Dominik Hašek;Roberto Luongo
23;Welche Frau hält den Weltrekord im Hochsprung?;Stefka Kostadinowa;Yelena Isinbayeva;Blanka Vlašić;Kajsa Bergqvist
22;Welcher Golfer gewann 18 Major-Turniere in seiner Karriere?;Jack Nicklaus;Tiger Woods;Arnold Palmer;Phil Mickelson
21;Welches Land hat die meisten Rugby-Weltmeisterschaften gewonnen?;Neuseeland;Südafrika;Australien;England
