49;Wie viele Punkte gibt es maximal in einem Standard-Dartspiel?;180;200;160;150
48;Welche Sprache hat die meisten Wörter?;Englisch;Chinesisch;Spanisch;Französisch
47;Wie viele Tasten hat ein Konzertflügel normalerweise?;88;76;100;64
46;Was ist die längste Flussinsel der Welt?;Ilha do Bananal, Brasilien;Isle of Wight, England;Long Island, USA;Sri Lanka
45;Wie nennt man die wissenschaftliche Studie von Pilzen?;Mykologie;Botanik;Zoologie;Mikrobiologie
44;Was ist die höchste Zahl, die mit zwei Ziffern dargestellt werden kann?;99;100;98;90
43;Wie viele Staaten hat die Europäische Union (EU) im Jahr 2022?;27;28;30;25
42;Welches ist das zweithäufigste Element in der Erdkruste?;Silizium;Sauerstoff;Eisen;Aluminium
41;Was ist der längste zusammenhängende Bergkamm der Welt?;Anden;Himalaya;Rocky Mountains;Appalachen
40;Welches Land hat die meisten UNESCO-Welterbestätten?;Italien;China;Spanien;Frankreich
39;Was ist die größte Meerenge der Welt?;Beringstraße;Gibraltarstraße;Dardanellen;Torres-Straße
38;Welches Tier hat das größte Gehirn im Verhältnis zu seiner Körpergröße?;Pottwal;Elefant;Mensch;Delfin
37;Wie nennt man die Angst vor der Zahl 13?;Triskaidekaphobie;Hexakosioihexekontahexaphobie;Tetraphobie;Septemtriskaidekaphobie
36;Was ist die einzige Zahl, die genauso viele Buchstaben hat wie ihr Wert?;4;7;5;11
35;Welches Land hat die meisten Zeitzonen?;Frankreich;Russland;USA;China
34;Welcher Planet hat den längsten Tag?;Venus;Merkur;Jupiter;Mars
33;Was ist die Hauptkomponente von Balsamico-Essig?;Traubenmost;Weinessig;Apfelessig;Zitronensaft
32;Welches Land hat den längsten zusammenhängenden Strand der Welt?;Brasilien;Australien;USA;Indien
31;Welches Element hat die höchste Dichte?;Osmium;Platin;Gold;Uran
30;Was ist der höchste Berg außerhalb des Himalayas?;Aconcagua, Anden;Mount McKinley, Alaska;Mount Kilimanjaro, Tansania;Mount Vinson, Antarktis
29;Was ist die seltenste Blutgruppe in der Weltbevölkerung?;AB-Negativ;O-Negativ;AB-Positiv;A-Positiv
28;Wie viele Knochen hat ein erwachsener Mensch?;206;208;200;212
27;Was ist der älteste Zoo der Welt?;Tiergarten Schönbrunn, Wien;London Zoo;Jardin des Plantes, Paris;Zoologischer Garten Berlin
26;Wie nennt man das kleinste Knochen im menschlichen Körper?;Steigbügel;Fingerglied;Kniescheibe;Rippe
25;Was ist die längste kontinuierliche Eisenbahnstrecke der Welt?;Transsibirische Eisenbahn;Canadian Pacific Railway;Union Pacific Railroad;Trans-Australian Railway
24;Welcher Planet hat den größten Durchmesser?;Jupiter;Saturn;Neptun;Uranus
23;Was ist die längste Autobahn der Welt?;Panamericana;Trans-Canada Highway;Interstate Highway System, USA;Autobahn, Deutschland
22;Wie heißt die längste Brücke der Welt?;Danyang-Kunshan-Brücke, China;Akashi-Kaikyō-Brücke, Japan;Golden Gate Bridge, USA;Millau Viadukt, Frankreich
21;Welches Tier hat die höchste Lebenserwartung?;Quahog, eine Muschelart;Galápagos-Riesenschildkröte;Grönlandwal;Riesenhai
20;Welcher der folgenden Flüsse hat den höchsten Durchfluss?;Amazonas;Nil;Jangtsekiang;Mississippi
19;Welches ist das am häufigsten produzierte Lebensmittel der Welt?;Zucker;Mais;Reis;Weizen
18;Wie viele Kilometer beträgt der Äquatorumfang?;40.075 Kilometer;20.000 Kilometer;50.000 Kilometer;30.000 Kilometer
17;Wie nennt man die Angst vor Spinnen?;Arachnophobie;Entomophobie;Ophidiophobie;Claustrophobie
16;Was ist die längste U-Bahn-Strecke der Welt?;Peking, China;New York City, USA;London, UK;Moskau, Russland
15;Welches ist das schwerste Element, das bei Raumtemperatur fest ist?;Osmium;Platin;Gold;Uran
14;Welches Tier hat den längsten Winterschlaf?;Sibirischer Braunbär;Europäischer Igel;Siebenschläfer;Gelbhalsmaus
13;Was ist die höchste Schwingungsfrequenz eines Tones, die das menschliche Ohr wahrnehmen kann?;20.000 Hertz;16.000 Hertz;25.000 Hertz;10.000 Hertz
12;Welches ist das kleinste Land der Welt?;Vatikanstadt;Monaco;Nauru;San Marino
11;Was ist die längste non-stop kommerzielle Flugroute der Welt?;Sydney nach Dallas;Auckland nach Doha;Singapur nach New York City;London nach Sydney
10;Was ist die höchste jemals aufgezeichnete Windgeschwindigkeit auf der Erde?;408 km/h;372 km/h;432 km/h;351 km/h
9;Welcher ist der kleinste Planet in unserem Sonnensystem?;Merkur;Pluto;Mars;Venus
8;Welches Tier hat die meisten Zähne?;Schnecke;Weißer Hai;Ameisenbär;Krokodil
7;Was ist die höchste je gemessene Temperatur auf der Erde?;56,7 Grad Celsius;50,0 Grad Celsius;63,5 Grad Celsius;48,9 Grad Celsius
6;Wie nennt man die Angst vor dem Freitag, dem 13.?;Paraskavedekatriaphobie;Triskaidekaphobie;Hexakosioihexekontahexaphobie;Tetraphobie
5;Welcher Planet hat den kürzesten Tag?;Jupiter;Merkur;Mars;Venus
4;Welcher ist der tiefste bekannte Punkt im Ozean?;Marianengraben;Puerto-Rico-Graben;Sunda-Graben;Philippinen-Graben
3;Wie viele Muscheln gibt es auf einem Standard-Monopoly-Spielbrett?;32;28;24;36
2;Welches Land hat die meisten Zeitungen?;China;Indien;USA;Japan
1;Welche Wissenschaft befasst sich mit der Untersuchung von Sternen und Galaxien?;Astronomie;Astrologie;Astrophysik;Kosmologie
0;Wie viele Sterne befinden sich auf der Flagge der Europäischen Union?;12;10;8;14
